project,access,agent,timestamp,views
de.wikipedia.org,desktop,automated,2020-12-31,740463
de.wikipedia.org,desktop,automated,2021-01-01,888834
de.wikipedia.org,desktop,automated,2021-01-02,860352
de.wikipedia.org,desktop,automated,2021-01-03,1313918
de.wikipedia.org,desktop,automated,2021-01-04,1926905
de.wikipedia.org,desktop,automated,2021-01-05,1817399
de.wikipedia.org,desktop,automated,2021-01-06,1572823
de.wikipedia.org,desktop,automated,2021-01-07,1174613
de.wikipedia.org,desktop,automated,2021-01-08,1018620
de.wikipedia.org,desktop,automated,2021-01-09,684215
de.wikipedia.org,desktop,automated,2021-01-10,893136
de.wikipedia.org,desktop,automated,2021-01-11,1204276
de.wikipedia.org,desktop,automated,2021-01-12,1301864
de.wikipedia.org,desktop,automated,2021-01-13,1319014
de.wikipedia.org,desktop,automated,2021-01-14,1364327
de.wikipedia.org,desktop,automated,2021-01-15,1362087
de.wikipedia.org,desktop,automated,2021-01-16,1405067
de.wikipedia.org,desktop,automated,2021-01-17,1148974
de.wikipedia.org,desktop,automated,2021-01-18,1177887
de.wikipedia.org,desktop,automated,2021-01-19,1673010
de.wikipedia.org,desktop,automated,2021-01-20,1598626
de.wikipedia.org,desktop,automated,2021-01-21,1591357
de.wikipedia.org,desktop,automated,2021-01-22,1301220
de.wikipedia.org,desktop,automated,2021-01-23,1094844
de.wikipedia.org,desktop,automated,2021-01-24,1038217
de.wikipedia.org,desktop,automated,2021-01-25,2297960
de.wikipedia.org,desktop,automated,2021-01-26,2354165
de.wikipedia.org,desktop,automated,2021-01-27,3301680
de.wikipedia.org,desktop,automated,2021-01-28,2154240
de.wikipedia.org,desktop,automated,2021-01-29,2682915
de.wikipedia.org,desktop,automated,2021-01-30,2254620
de.wikipedia.org,desktop,automated,2021-01-31,1087451
de.wikipedia.org,desktop,automated,2021-02-01,2113109
de.wikipedia.org,desktop,automated,2021-02-02,5804623
de.wikipedia.org,desktop,automated,2021-02-03,1839452
de.wikipedia.org,desktop,automated,2021-02-04,1683820
de.wikipedia.org,desktop,automated,2021-02-05,1615123
de.wikipedia.org,desktop,automated,2021-02-06,1390250
de.wikipedia.org,desktop,automated,2021-02-07,1361415
de.wikipedia.org,desktop,automated,2021-02-08,1555893
de.wikipedia.org,desktop,automated,2021-02-09,1801225
de.wikipedia.org,desktop,automated,2021-02-10,1609736
de.wikipedia.org,desktop,automated,2021-02-11,1862453
de.wikipedia.org,desktop,automated,2021-02-12,1561477
de.wikipedia.org,desktop,automated,2021-02-13,1350577
de.wikipedia.org,desktop,automated,2021-02-14,1806849
de.wikipedia.org,desktop,automated,2021-02-15,2070145
de.wikipedia.org,desktop,automated,2021-02-16,2812690
de.wikipedia.org,desktop,automated,2021-02-17,2850982
de.wikipedia.org,desktop,automated,2021-02-18,2129085
de.wikipedia.org,desktop,automated,2021-02-19,2384778
de.wikipedia.org,desktop,automated,2021-02-20,2550820
de.wikipedia.org,desktop,automated,2021-02-21,2389150
de.wikipedia.org,desktop,automated,2021-02-22,2689249
de.wikipedia.org,desktop,automated,2021-02-23,2694877
de.wikipedia.org,desktop,automated,2021-02-24,2433590
de.wikipedia.org,desktop,automated,2021-02-25,1992627
de.wikipedia.org,desktop,automated,2021-02-26,1416208
de.wikipedia.org,desktop,automated,2021-02-27,1170898
de.wikipedia.org,desktop,automated,2021-02-28,1162208
de.wikipedia.org,desktop,automated,2021-03-01,1546862
de.wikipedia.org,desktop,automated,2021-03-02,1507581
de.wikipedia.org,desktop,automated,2021-03-03,1501273
de.wikipedia.org,desktop,automated,2021-03-04,1451704
de.wikipedia.org,desktop,automated,2021-03-05,1409888
de.wikipedia.org,desktop,automated,2021-03-06,929927
de.wikipedia.org,desktop,automated,2021-03-07,913682
de.wikipedia.org,desktop,automated,2021-03-08,1148666
de.wikipedia.org,desktop,automated,2021-03-09,1345068
de.wikipedia.org,desktop,automated,2021-03-10,1215126
de.wikipedia.org,desktop,automated,2021-03-11,1876215
de.wikipedia.org,desktop,automated,2021-03-12,1838600
de.wikipedia.org,desktop,automated,2021-03-13,775104
de.wikipedia.org,desktop,automated,2021-03-14,945118
de.wikipedia.org,desktop,automated,2021-03-15,1226264
de.wikipedia.org,desktop,automated,2021-03-16,1563515
de.wikipedia.org,desktop,automated,2021-03-17,1462393
de.wikipedia.org,desktop,automated,2021-03-18,1726833
de.wikipedia.org,desktop,automated,2021-03-19,1349513
